                               Swordsoul:  1017 (6.68%)
                             Tri-Brigade:   638 (4.19%)
                                 Eldlich:   598 (3.93%)
                              Prank-Kids:   526 (3.46%)
                             Sky Striker:   518 (3.40%)
                           Adamancipator:   517 (3.40%)
                                 Branded:   510 (3.35%)
                                  Invoke:   409 (2.69%)
                                Lyrilusc:   403 (2.65%)
                           Virtual World:   391 (2.57%)
                                 Drytron:   385 (2.53%)
                                Mathmech:   363 (2.39%)
                          Floowandereeze:   353 (2.32%)
                                Dinosaur:   326 (2.14%)
                             Dragon Link:   324 (2.13%)
                                    HERO:   317 (2.08%)
                         Phantom Knights:   307 (2.02%)
                          Thunder Dragon:   284 (1.87%)
                                Endymion:   233 (1.53%)
                         Auroradon Combo:   231 (1.52%)
                            Salamangreat:   222 (1.46%)
                               Live☆Twin:   214 (1.41%)
                            Cyber Dragon:   200 (1.31%)
                                Madolche:   192 (1.26%)
                                 Numeron:   183 (1.20%)
                                 Zoodiac:   170 (1.12%)
                              True Draco:   169 (1.11%)
                                  SPYRAL:   167 (1.10%)
                                Pendulum:   162 (1.06%)
                                Traptrix:   131 (0.86%)
                              Dragonmaid:   117 (0.77%)
                               Subterror:   114 (0.75%)
                                  Orcust:   112 (0.74%)
                               Marincess:   107 (0.70%)
                           Rank 8 go 2nd:   100 (0.66%)
                                 Fluffal:    91 (0.60%)
                                 Machina:    91 (0.60%)
                                   D/D/D:    89 (0.58%)
                                Synchron:    88 (0.58%)
                                  Runick:    87 (0.57%)
                          Barrier Statue:    78 (0.51%)
                       Infernoble Knight:    78 (0.51%)
                               Gren Maju:    77 (0.51%)
                                   Zefra:    77 (0.51%)
                        Ancient Warriors:    75 (0.49%)
                           Dark Magician:    73 (0.48%)
                               Blue-Eyes:    62 (0.41%)
                               Unchained:    62 (0.41%)
                               Speedroid:    61 (0.40%)
                              Altergeist:    60 (0.39%)
                         Plunder Patroll:    58 (0.38%)
                                 Railway:    57 (0.37%)
                        Megalith Drytron:    53 (0.35%)
                                Crusadia:    52 (0.34%)
                                   Plant:    52 (0.34%)
                          Kragen Control:    51 (0.34%)
                                 Zombies:    51 (0.34%)
                               Infernoid:    50 (0.33%)
                            Mekk-Knights:    45 (0.30%)
                  Danger! Thunder Dragon:    43 (0.28%)
                              Paleo Frog:    42 (0.28%)
                       Mermail Atlantean:    42 (0.28%)
                       Magical Musketeer:    41 (0.27%)
                             Dinomorphia:    40 (0.26%)
                                     Umi:    39 (0.26%)
                             Gravekeeper:    39 (0.26%)
                              Rose Tenyi:    39 (0.26%)
                               Dragunity:    38 (0.25%)
                              Blackwings:    37 (0.24%)
                                Labrynth:    37 (0.24%)
                            Witchcrafter:    34 (0.22%)
                         Cyberse Eldlich:    33 (0.22%)
                               Scareclaw:    33 (0.22%)
                         Phantasm Spiral:    33 (0.22%)
                             Beetroopers:    32 (0.21%)
             Gladiator Beast Tri-Brigade:    32 (0.21%)
                               Dogmatika:    32 (0.21%)
                                  Agents:    31 (0.20%)
                                Evil Eye:    31 (0.20%)
                         Despia Darklord:    30 (0.20%)
