2024-01,,,2024-02,,,2024-03,,,2024-04,,,2024-05,,,2024-06,,,2024-07,,,2024-08,,,2024-09,,,2024-10,,,2024-11,,,2024-12,,
754,,,830,,,1504,,,796,,,834,,,1317,,,674,,,800,,,1235,,,859,,,745,,,714,,
Superheavy Samurai,70,9.3%,Snake-Eye,164,19.8%,Snake-Eye,256,17.0%,Snake-Eye,94,11.8%,Snake-Eye,76,9.1%,Snake-Eye Fire King,116,8.8%,Yubel,112,16.6%,Yubel,84,10.5%,Voiceless Voice,74,6.0%,Tenpai Dragon,176,20.5%,Tenpai Dragon,97,13.0%,Tenpai Dragon,79,11.1%
Mannadium,50,6.6%,Labrynth,51,6.1%,Labrynth,127,8.4%,Labrynth,52,6.5%,Tearlaments,48,5.8%,Rescue-ACE,60,4.6%,Snake-Eye Fire King,34,5.0%,Voiceless Voice,83,10.4%,Yubel,70,5.7%,Yubel,50,5.8%,Voiceless Voice,38,5.1%,White Forest,54,7.6%
Branded,49,6.5%,Branded,39,4.7%,Kashtira,65,4.3%,Rescue-ACE,49,6.2%,Labrynth,36,4.3%,Snake-Eye,54,4.1%,Tearlaments,33,4.9%,Tearlaments,36,4.5%,Tearlaments,69,5.6%,Voiceless Voice,42,4.9%,Mathmech,36,4.8%,Gimmick Puppet,37,5.2%
Labrynth,44,5.8%,Mathmech,34,4.1%,Tearlaments,60,4.0%,Tearlaments,38,4.8%,Salamangreat,35,4.2%,Tearlaments,53,4.0%,Stun,30,4.5%,Stun,33,4.1%,Centur-Ion,62,5.0%,Mathmech,36,4.2%,Centur-Ion,32,4.3%,Labrynth,31,4.3%
Dinomorphia,42,5.6%,Kashtira,34,4.1%,Mathmech,52,3.5%,Purrely,37,4.6%,Rescue-ACE,32,3.8%,Purrely,52,3.9%,Branded,26,3.9%,Snake-Eye Fire King,28,3.5%,Stun,61,4.9%,Ritual Beasts,36,4.2%,Melodious,27,3.6%,Mathmech,28,3.9%
Mathmech,39,5.2%,Infernoble Knight,28,3.4%,Branded,50,3.3%,Unchained,30,3.8%,Chimera,28,3.4%,Mathmech,46,3.5%,Centur-Ion,26,3.9%,Branded,25,3.1%,Dragon Link,50,4.0%,Tearlaments,25,2.9%,Ritual Beasts,23,3.1%,Voiceless Voice,26,3.6%
Vanquish Soul,34,4.5%,Superheavy Samurai,27,3.3%,Resonators,46,3.1%,Chimera,26,3.3%,Purrely,25,3.0%,Sky Striker,41,3.1%,Purrely,25,3.7%,Centur-Ion,25,3.1%,Kashtira,48,3.9%,Snake-Eye Fire King,24,2.8%,Chimera,23,3.1%,Chimera,26,3.6%
Swordsoul Tenyi,22,2.9%,Mannadium,26,3.1%,Superheavy Samurai,43,2.9%,Mathmech,25,3.1%,Mathmech,23,2.8%,Labrynth,37,2.8%,Labrynth,24,3.6%,Ice Barrier,23,2.9%,Ancient Gear,42,3.4%,Centur-Ion,22,2.6%,Yubel,23,3.1%,Infernoble Knight,21,2.9%
Tearlaments,20,2.7%,Dinomorphia,26,3.1%,Dinomorphia,38,2.5%,Mikanko,21,2.6%,Vanquish Soul,23,2.8%,Branded,34,2.6%,Mathmech,23,3.4%,Raidraptor,20,2.5%,Branded,35,2.8%,Labrynth,19,2.2%,Labrynth,22,3.0%,Centur-Ion,19,2.7%
Gold Pride,17,2.3%,Tearlaments,22,2.7%,Vanquish Soul,37,2.5%,Branded,20,2.5%,Unchained,22,2.6%,Kashtira,34,2.6%,Rescue-ACE,21,3.1%,Floowandereeze,17,2.1%,Rikka,35,2.8%,Branded,19,2.2%,Tearlaments,21,2.8%,Branded,14,2.0%
Stun,16,2.1%,Stun,19,2.3%,Mannadium,33,2.2%,Vanquish Soul,20,2.5%,Horus,21,2.5%,Vaalmonica,31,2.4%,Resonators,21,3.1%,Resonators,17,2.1%,Vanquish Soul,30,2.4%,Stun,17,2.0%,Infernoble Knight,21,2.8%,Dinomorphia,14,2.0%
Sky Striker,16,2.1%,Vanquish Soul,18,2.2%,Swordsoul Tenyi,33,2.2%,Dinos,20,2.5%,Kashtira,17,2.0%,Fire King,31,2.4%,Kashtira,15,2.2%,Mathmech,17,2.1%,Snake-Eye Fire King,28,2.3%,Mikanko,16,1.9%,Dinomorphia,17,2.3%,Tearlaments,13,1.8%
Dinos,16,2.1%,Swordsoul Tenyi,17,2.0%,Stun,30,2.0%,Mannadium,19,2.4%,Mannadium,17,2.0%,Pendulum Magician,24,1.8%,Spright,10,1.5%,Labrynth,15,1.9%,Labrynth,28,2.3%,Dinomorphia,13,1.5%,Snake-Eye Fire King,15,2.0%,True Draco,13,1.8%
Kashtira,16,2.1%,Rescue-ACE,15,1.8%,Floowandereeze,27,1.8%,Dinomorphia,18,2.3%,Branded,16,1.9%,Stun,24,1.8%,Infernoble Knight,9,1.3%,Chimera,13,1.6%,Mathmech,27,2.2%,Purrely,11,1.3%,Live☆Twin Spright,14,1.9%,Snake-Eye Fire King,13,1.8%
Dragon Link,13,1.7%,HEROs,15,1.8%,Sky Striker,22,1.5%,Kashtira,13,1.6%,Infernoble Knight,16,1.9%,Horus,23,1.7%,Floowandereeze,8,1.2%,Purrely,13,1.6%,Purrely,21,1.7%,Rescue-ACE,11,1.3%,Branded,14,1.9%,Yubel,13,1.8%
Rikka,11,1.5%,Mikanko,12,1.4%,Infernoble Knight,21,1.4%,Floowandereeze,13,1.6%,Naturia,14,1.7%,Salamangreat,21,1.6%,Vanquish Soul,8,1.2%,Vanquish Soul,12,1.5%,Floowandereeze,19,1.5%,Rikka,11,1.3%,Snake-Eye,12,1.6%,Stun,11,1.5%
Traptrix,11,1.5%,Tech Genus,10,1.2%,Mikanko,18,1.2%,HEROs,13,1.6%,Live☆Twin Spright,13,1.6%,Unchained,20,1.5%,Salamangreat,8,1.2%,Infernoble Knight,11,1.4%,Snake-Eye,18,1.5%,Infernoid,11,1.3%,Scareclaw,11,1.5%,Orcust,11,1.5%
Nemleria,10,1.3%,Synchrons,10,1.2%,Exosister,17,1.1%,Swordsoul Tenyi,13,1.6%,Memento,13,1.6%,Vanquish Soul,20,1.5%,Stardust Bystial,7,1.0%,Rescue-ACE,10,1.2%,Traptrix,17,1.4%,Paleozoic,10,1.2%,Rikka,11,1.5%,Ritual Beasts,11,1.5%
Exosister,10,1.3%,Traptrix,10,1.2%,HEROs,16,1.1%,Resonators,11,1.4%,Paleozoic,13,1.6%,Infernoble Knight,19,1.4%,Dinomorphia,7,1.0%,Spright,10,1.2%,Bystial Runick,17,1.4%,Mannadium,10,1.2%,Stun,9,1.2%,Snake-Eye,10,1.4%
Bystial Runick,10,1.3%,Exosister,10,1.2%,Traptrix,15,1.0%,Naturia,10,1.3%,Floowandereeze,13,1.6%,Floowandereeze,17,1.3%,Snake-Eye,7,1.0%,Scareclaw,10,1.2%,Rescue-ACE,17,1.4%,Salamangreat,10,1.2%,Madolche,9,1.2%,Melodious,9,1.3%
Endymion,8,1.1%,Evil Eye,9,1.1%,Synchrons,15,1.0%,Stun,9,1.1%,Resonators,12,1.4%,Swordsoul Tenyi,17,1.3%,Traptrix,7,1.0%,Kashtira,10,1.2%,Spright,16,1.3%,Infernoble Knight,10,1.2%,Traptrix,7,0.9%,Rikka,9,1.3%
HEROs,8,1.1%,Ninja,9,1.1%,Evil Eye,15,1.0%,Rikka,9,1.1%,Swordsoul Tenyi,11,1.3%,Dinomorphia,16,1.2%,Rikka,6,0.9%,Pendulum Magician,9,1.1%,Infernoble Knight,16,1.3%,Ancient Gear,9,1.0%,Resonators,7,0.9%,Dark Magician,9,1.3%
Floowandereeze,7,0.9%,Dinos,8,1.0%,Rescue-ACE,14,0.9%,Exosister,9,1.1%,Dinomorphia,10,1.2%,Supreme King,16,1.2%,Ninja,6,0.9%,Ghoti,9,1.1%,Resonators,14,1.1%,Vaylantz,9,1.0%,Ice Barrier,7,0.9%,Resonators,8,1.1%
Evil Eye,7,0.9%,SPYRAL,7,0.8%,Dragon Link,13,0.9%,Superheavy Samurai,8,1.0%,Thunder Dragon,10,1.2%,Naturia,15,1.1%,Sky Striker,5,0.7%,Mikanko,8,1.0%,Swordsoul Tenyi,13,1.1%,Bystial Runick,8,0.9%,Paleozoic,7,0.9%,Live☆Twin Spright,7,1.0%
Mikanko,7,0.9%,Adventure Phantom Knights,7,0.8%,Dinos,11,0.7%,Zoodiac,8,1.0%,HEROs,10,1.2%,Mannadium,15,1.1%,Endymion,5,0.7%,Rikka,8,1.0%,Runick Spright,13,1.1%,Goblin Biker,8,0.9%,Raidraptor,7,0.9%,Salamangreat,6,0.8%
