2024-01,,,2024-02,,,2024-03,,,2024-04,,,2024-05,,,2024-06,,,2024-07,,,2024-08,,,2024-09,,,2024-10,,,2024-11,,,2024-12,,
387,,,451,,,774,,,392,,,348,,,527,,,354,,,374,,,546,,,449,,,342,,,335,,
Superheavy Samurai,70,18.1%,Snake-Eye,164,36.4%,Snake-Eye,256,33.1%,Snake-Eye,94,24.0%,Snake-Eye,76,21.8%,Snake-Eye Fire King,116,22.0%,Yubel,112,31.6%,Yubel,84,22.5%,Voiceless Voice,74,13.6%,Tenpai Dragon,176,39.2%,Tenpai Dragon,97,28.4%,Tenpai Dragon,79,23.6%
Mannadium,50,12.9%,Labrynth,51,11.3%,Labrynth,127,16.4%,Labrynth,52,13.3%,Tearlaments,48,13.8%,Rescue-ACE,60,11.4%,Snake-Eye Fire King,34,9.6%,Voiceless Voice,83,22.2%,Yubel,70,12.8%,Yubel,50,11.1%,Voiceless Voice,38,11.1%,White Forest,54,16.1%
Branded,49,12.7%,Branded,39,8.6%,Kashtira,65,8.4%,Rescue-ACE,49,12.5%,Labrynth,36,10.3%,Snake-Eye,54,10.2%,Tearlaments,33,9.3%,Tearlaments,36,9.6%,Tearlaments,69,12.6%,Voiceless Voice,42,9.4%,Mathmech,36,10.5%,Gimmick Puppet,37,11.0%
Labrynth,44,11.4%,Mathmech,34,7.5%,Tearlaments,60,7.8%,Tearlaments,38,9.7%,Salamangreat,35,10.1%,Tearlaments,53,10.1%,Stun,30,8.5%,Stun,33,8.8%,Centur-Ion,62,11.4%,Ritual Beasts,36,8.0%,Centur-Ion,32,9.4%,Labrynth,31,9.3%
Dinomorphia,42,10.9%,Kashtira,34,7.5%,Mathmech,52,6.7%,Purrely,37,9.4%,Rescue-ACE,32,9.2%,Purrely,52,9.9%,Branded,26,7.3%,Snake-Eye Fire King,28,7.5%,Stun,61,11.2%,Mathmech,36,8.0%,Melodious,27,7.9%,Mathmech,28,8.4%
Mathmech,39,10.1%,Infernoble Knight,28,6.2%,Branded,50,6.5%,Unchained,30,7.7%,Chimera,28,8.0%,Mathmech,46,8.7%,Centur-Ion,26,7.3%,Branded,25,6.7%,Dragon Link,50,9.2%,Tearlaments,25,5.6%,Chimera,23,6.7%,Chimera,26,7.8%
Vanquish Soul,34,8.8%,Superheavy Samurai,27,6.0%,Resonators,46,5.9%,Chimera,26,6.6%,Purrely,25,7.2%,Sky Striker,41,7.8%,Purrely,25,7.1%,Centur-Ion,25,6.7%,Kashtira,48,8.8%,Snake-Eye Fire King,24,5.3%,Yubel,23,6.7%,Voiceless Voice,26,7.8%
Swordsoul Tenyi,22,5.7%,Dinomorphia,26,5.8%,Superheavy Samurai,43,5.6%,Mathmech,25,6.4%,Mathmech,23,6.6%,Labrynth,37,7.0%,Labrynth,24,6.8%,Ice Barrier,23,6.1%,Ancient Gear,42,7.7%,Centur-Ion,22,4.9%,Ritual Beasts,23,6.7%,Infernoble Knight,21,6.3%
Tearlaments,20,5.2%,Mannadium,26,5.8%,Dinomorphia,38,4.9%,Mikanko,21,5.4%,Vanquish Soul,23,6.6%,Kashtira,34,6.5%,Mathmech,23,6.5%,Raidraptor,20,5.3%,Branded,35,6.4%,Branded,19,4.2%,Labrynth,22,6.4%,Centur-Ion,19,5.7%
Gold Pride,17,4.4%,Tearlaments,22,4.9%,Vanquish Soul,37,4.8%,Dinos,20,5.1%,Unchained,22,6.3%,Branded,34,6.5%,Rescue-ACE,21,5.9%,Resonators,17,4.5%,Rikka,35,6.4%,Labrynth,19,4.2%,Infernoble Knight,21,6.1%,Dinomorphia,14,4.2%
