2022-01,,,2022-02,,,2022-03,,,2022-04,,,2022-05,,,2022-06,,,2022-07,,,2022-08,,,2022-09,,,2022-10,,,2022-11,,,2022-12,,,2023-01,,,2023-02,,,2023-03,,,2023-04,,,2023-05,,,2023-06,,,2023-07,,,2023-08,,,2023-09,,,2023-10,,,2023-11,,,2023-12,,,2024-01,,,2024-02,,,2024-03,,,2024-04,,,2024-05,,,2024-06,,,2024-07,,,2024-08,,,2024-09,,,2024-10,,,2024-11,,,2024-12,,,2025-01,,,2025-02,,,2025-03,,,2025-04,,,2025-05,,,2025-06,,,2025-07,,,2025-08,,,2025-09,,,2025-10,,,2025-11,,,2025-12,,,2026-01,,,2026-02,,,2026-03,,
1429,,,2018,,,1716,,,1351,,,2101,,,1403,,,1100,,,1155,,,810,,,537,,,508,,,1088,,,804,,,950,,,1520,,,897,,,1181,,,963,,,767,,,955,,,994,,,1317,,,754,,,1240,,,754,,,830,,,1504,,,796,,,834,,,1317,,,674,,,800,,,1235,,,859,,,745,,,1362,,,777,,,985,,,1552,,,971,,,950,,,1447,,,881,,,1022,,,1076,,,699,,,777,,,1335,,,818,,,906,,,1585,,
Lyrilusc,136,9.5%,Tri-Brigade,172,8.5%,Tri-Brigade,100,5.8%,Adamancipator,84,6.2%,Swordsoul,372,17.7%,Swordsoul,217,15.5%,Prank-Kids,118,10.7%,Auroradon Combo,100,8.7%,Branded,177,21.9%,Branded,64,11.9%,Branded,64,12.6%,Swordsoul,127,11.7%,Mathmech,129,16.0%,Spright,201,21.2%,Spright,224,14.7%,Tearlaments,241,26.9%,Tearlaments,222,18.8%,Spright,141,14.6%,Tearlaments,93,12.1%,Tearlaments,79,8.3%,Purrely,87,8.8%,Kashtira,166,12.6%,Mathmech,93,12.3%,Branded,107,8.6%,Superheavy Samurai,70,9.3%,Snake-Eye,164,19.8%,Snake-Eye,256,17.0%,Snake-Eye,94,11.8%,Snake-Eye,76,9.1%,Fire King,159,12.1%,Yubel,112,16.6%,Yubel,84,10.5%,Voiceless Voice,74,6.0%,Tenpai Dragon,176,20.5%,Tenpai Dragon,97,13.0%,Tenpai Dragon,149,10.9%,Tenpai Dragon,56,7.2%,Snake-Eye,102,10.4%,Snake-Eye,143,9.2%,Blue-Eyes,211,21.7%,Fiendsmith,135,14.2%,Crystron,135,9.3%,Maliss,222,25.2%,Ryzeal,169,16.5%,Maliss,197,18.3%,Mitsurugi,122,17.5%,Orcust,76,9.8%,Dracotail,289,21.6%,Dracotail,143,17.5%,Vanquish Soul,128,14.1%,Yummy,161,10.2%
Tri-Brigade,132,9.2%,Adamancipator,113,5.6%,Adamancipator,98,5.7%,Sky Striker,62,4.6%,Tri-Brigade,95,4.5%,Eldlich,90,6.4%,Floowandereeze,114,10.4%,Prank-Kids,96,8.3%,Swordsoul,87,10.7%,Swordsoul,49,9.1%,Swordsoul,46,9.1%,Branded,101,9.3%,Swordsoul,82,10.2%,Mathmech,57,6.0%,Branded,127,8.4%,Floowandereeze,82,9.1%,Floowandereeze,81,6.9%,Tearlaments,113,11.7%,Spright,74,9.6%,Spright,71,7.4%,Mathmech,77,7.7%,Labrynth,100,7.6%,Vanquish Soul,76,10.1%,Vanquish Soul,103,8.3%,Mannadium,50,6.6%,Labrynth,51,6.1%,Labrynth,127,8.4%,Labrynth,52,6.5%,Tearlaments,48,5.8%,Rescue-ACE,64,4.9%,Fire King,37,5.5%,Voiceless Voice,83,10.4%,Centur-Ion,71,5.7%,Yubel,50,5.8%,Mathmech,42,5.6%,White Forest,109,8.0%,Yubel,48,6.2%,Tenpai Dragon,99,10.1%,Blue-Eyes,133,8.6%,Tenpai Dragon,42,4.3%,Blue-Eyes,122,12.8%,Blue-Eyes,118,8.2%,Blue-Eyes,61,6.9%,Maliss,158,15.5%,Ryzeal,180,16.7%,Orcust,88,12.6%,Mitsurugi,69,8.9%,Odion,120,9.0%,Yummy,141,17.2%,Yummy,90,9.9%,Vanquish Soul,134,8.5%
Eldlich,77,5.4%,Invoke,103,5.1%,Sky Striker,71,4.1%,Invoke,53,3.9%,Sky Striker,89,4.2%,Sky Striker,51,3.6%,Auroradon Combo,90,8.2%,Floowandereeze,95,8.2%,Dragon Link,45,5.6%,Floowandereeze,38,7.1%,Floowandereeze,31,6.1%,Runick,87,8.0%,Branded,43,5.3%,Branded,52,5.5%,Swordsoul,91,6.0%,Spright,60,6.7%,Spright,80,6.8%,Branded,96,10.0%,Dragon Link,51,6.6%,Dragon Link,71,7.4%,Mikanko,68,6.8%,Purrely,85,6.5%,Labrynth,43,5.7%,Mathmech,90,7.3%,Branded,50,6.6%,Mathmech,43,5.2%,Mathmech,67,4.5%,Rescue-ACE,49,6.2%,Rescue-ACE,36,4.3%,Mathmech,55,4.2%,Tearlaments,33,4.9%,Tearlaments,36,4.5%,Yubel,70,5.7%,Voiceless Voice,42,4.9%,Voiceless Voice,38,5.1%,Labrynth,63,4.6%,White Forest,38,4.9%,White Forest,73,7.4%,Tenpai Dragon,130,8.4%,Centur-Ion,41,4.2%,Snake-Eye,51,5.4%,Fiendsmith,85,5.9%,Tenpai Dragon,49,5.6%,Tenpai Dragon,93,9.1%,Gem-Knights,75,7.0%,Maliss,82,11.7%,Maliss,64,8.2%,Mitsurugi,100,7.5%,Odion,54,6.6%,Dracotail,74,8.2%,Dracotail,128,8.1%
Drytron,73,5.1%,Drytron,99,4.9%,Invoke,65,3.8%,Drytron,47,3.5%,Eldlich,82,3.9%,Prank-Kids,48,3.4%,Live☆Twin,63,5.7%,Eldlich,70,6.1%,Floowandereeze,29,3.6%,Umi,30,5.6%,Dragon Link,24,4.7%,Floowandereeze,46,4.2%,Sky Striker,39,4.9%,Live☆Twin,43,4.5%,Floowandereeze,84,5.5%,Exosister,59,6.6%,Exosister,57,4.8%,Dragon Link,59,6.1%,Labrynth,45,5.9%,Kashtira,63,6.6%,Labrynth,65,6.5%,Mathmech,58,4.4%,Kashtira,41,5.4%,Dragon Link,82,6.6%,Mathmech,50,6.6%,Branded,39,4.7%,Kashtira,65,4.3%,Tearlaments,38,4.8%,Labrynth,36,4.3%,Snake-Eye,54,4.1%,Centur-Ion,32,4.7%,Barrier Statue,33,4.1%,Tearlaments,69,5.6%,Mathmech,41,4.8%,Centur-Ion,34,4.6%,Voiceless Voice,60,4.4%,Voiceless Voice,33,4.2%,Exodia,51,5.2%,White Forest,93,6.0%,Fiendsmith,39,4.0%,P.U.N.K.,47,4.9%,Snake-Eye,83,5.7%,Fiendsmith,32,3.6%,Centur-Ion,64,6.3%,Tenpai Dragon,53,4.9%,Ryzeal,51,7.3%,White Forest,51,6.6%,Maliss,88,6.6%,Mitsurugi,48,5.9%,Mitsurugi,50,5.5%,Mitsurugi,123,7.8%
Invoke,72,5.0%,Virtual World,90,4.5%,Virtual World,58,3.4%,Tri-Brigade,42,3.1%,Prank-Kids,66,3.1%,Mathmech,42,3.0%,Swordsoul,62,5.6%,Swordsoul,57,4.9%,Eldlich,28,3.5%,Marincess,25,4.7%,Marincess,23,4.5%,Adamancipator,40,3.7%,Dinomorphia,31,3.9%,P.U.N.K.,39,4.1%,Mathmech,67,4.4%,Branded,46,5.1%,Swordsoul,49,4.1%,Swordsoul,46,4.8%,Branded,45,5.9%,Labrynth,55,5.8%,Dragon Link,59,5.9%,Tearlaments,55,4.2%,Dragon Link,40,5.3%,Mannadium,64,5.2%,Labrynth,44,5.8%,Kashtira,34,4.1%,Tearlaments,60,4.0%,Purrely,37,4.6%,Salamangreat,35,4.2%,Tearlaments,53,4.0%,Barrier Statue,30,4.5%,Fire King,29,3.6%,Barrier Statue,61,4.9%,Ritual Beast,36,4.2%,Melodious,27,3.6%,Gimmick Puppet,58,4.3%,Drytron,28,3.6%,Tearlaments,38,3.9%,Labrynth,48,3.1%,Memento,37,3.8%,Mermail Atlantean,40,4.2%,Branded,66,4.6%,Mermail Atlantean,30,3.4%,Blue-Eyes,41,4.0%,Regenesis,41,3.8%,Gem-Knights,37,5.3%,Lunalight,46,5.9%,White Forest,75,5.6%,D/D/D,36,4.4%,Odion,45,5.0%,Radiant Typhoon,119,7.5%
Virtual World,65,4.5%,Lyrilusc,81,4.0%,Dinosaur,56,3.3%,Dinosaur,38,2.8%,Invoke,57,2.7%,Tri-Brigade,40,2.9%,Eldlich,61,5.5%,Virtual World,44,3.8%,Auroradon Combo,24,3.0%,Dragon Link,22,4.1%,Scareclaw,16,3.1%,Labrynth,37,3.4%,Runick,26,3.2%,Swordsoul,38,4.0%,Plant,63,4.1%,Swordsoul,28,3.1%,Branded,47,4.0%,Floowandereeze,36,3.7%,Swordsoul,44,5.7%,Swordsoul,52,5.4%,Spright,53,5.3%,Mikanko,54,4.1%,Purrely,40,5.3%,Labrynth,50,4.0%,Dinomorphia,42,5.6%,Infernoble Knight,28,3.4%,Branded,52,3.5%,Unchained,31,3.9%,Chimera,28,3.4%,Purrely,52,3.9%,Branded,27,4.0%,Centur-Ion,27,3.4%,Dragon Link,51,4.1%,Fire King,25,2.9%,Ritual Beast,23,3.1%,Chimera,52,3.8%,Gimmick Puppet,27,3.5%,Yubel,32,3.2%,Exodia,48,3.1%,Snake-Eye,26,2.7%,Branded,33,3.5%,Tenpai Dragon,58,4.0%,Crystron,29,3.3%,Red Dragon Archfiend,30,2.9%,Blue-Eyes,40,3.7%,Blue-Eyes,29,4.1%,Sky Striker,37,4.8%,Orcust,50,3.7%,Lunalight,25,3.1%,Lunalight,44,4.9%,Odion,91,5.7%
Sky Striker,60,4.2%,Sky Striker,69,3.4%,Drytron,53,3.1%,Prank-Kids,38,2.8%,Mathmech,56,2.7%,HERO,39,2.8%,Sky Striker,32,2.9%,Live☆Twin,42,3.6%,Sky Striker,18,2.2%,Eldlich,16,3.0%,Adamancipator,15,3.0%,Endymion,32,2.9%,Dragon Link,22,2.7%,Sky Striker,31,3.3%,Grass Chaos,56,3.7%,HERO,27,3.0%,HERO,35,3.0%,Mathmech,20,2.1%,Floowandereeze,31,4.0%,P.U.N.K.,52,5.4%,Naturia,38,3.8%,Dragon Link,49,3.7%,Branded,30,4.0%,Kashtira,50,4.0%,Vanquish Soul,34,4.5%,Superheavy Samurai,27,3.3%,Red Dragon Archfiend,46,3.1%,Mathmech,29,3.6%,Mathmech,27,3.2%,Sky Striker,41,3.1%,Mathmech,26,3.9%,Branded,26,3.2%,Kashtira,48,3.9%,Tearlaments,25,2.9%,Infernoble Knight,23,3.1%,Mathmech,50,3.7%,Fire King,27,3.5%,Voiceless Voice,32,3.2%,Tachyon,45,2.9%,Branded,25,2.6%,Memento,32,3.4%,Mermail Atlantean,50,3.5%,Memento,27,3.1%,White Forest,29,2.8%,Mathmech,33,3.1%,Tenpai Dragon,17,2.4%,Blue-Eyes,32,4.1%,Ryzeal,42,3.1%,White Forest,23,2.8%,White Forest,35,3.9%,Lunalight,59,3.7%
Adamancipator,50,3.5%,Phantom Knights,65,3.2%,Eldlich,51,3.0%,Virtual World,38,2.8%,Dinosaur,54,2.6%,Dinosaur,35,2.5%,Dragon Link,26,2.4%,Sky Striker,35,3.0%,Numeron,18,2.2%,Salamangreat,16,3.0%,SPYRAL,15,3.0%,Marincess,28,2.6%,Floowandereeze,20,2.5%,Labrynth,31,3.3%,P.U.N.K.,40,2.6%,Adamancipator,21,2.3%,Blackwings,34,2.9%,Sky Striker,20,2.1%,Traptrix,30,3.9%,Floowandereeze,25,2.6%,Swordsoul,36,3.6%,Scareclaw,48,3.6%,Tearlaments,21,2.8%,Purrely,44,3.5%,Swordsoul,24,3.2%,Dinomorphia,26,3.1%,Superheavy Samurai,43,2.9%,Chimera,26,3.3%,Purrely,25,3.0%,Pendulum,40,3.0%,Purrely,25,3.7%,Mathmech,25,3.1%,Ancient Gear,42,3.4%,Centur-Ion,23,2.7%,Chimera,23,3.1%,Centur-Ion,36,2.6%,Branded,27,3.5%,Branded,30,3.0%,Kashtira,44,2.8%,Yubel,24,2.5%,Centur-Ion,31,3.3%,Centur-Ion,44,3.0%,White Forest,26,3.0%,Crystron,26,2.5%,Tearlaments,32,3.0%,Mathmech,14,2.0%,Ryzeal,28,3.6%,Tenpai Dragon,38,2.8%,Orcust,22,2.7%,Dark Magician,27,3.0%,Orcust,54,3.4%
