2024-12,,,2025-01,,,2025-02,,,2025-03,,,2025-04,,,2025-05,,,2025-06,,
1362,,,777,,,985,,,1552,,,971,,,950,,,1446,,
Tenpai Dragon,149,10.9%,Tenpai Dragon,56,7.2%,Snake-Eye,102,10.4%,Snake-Eye,143,9.2%,Blue-Eyes,211,21.7%,Fiendsmith,135,14.2%,Crystron,135,9.3%
White Forest,109,8.0%,Yubel,48,6.2%,Tenpai Dragon,99,10.1%,Blue-Eyes,133,8.6%,Tenpai Dragon,42,4.3%,Blue-Eyes,122,12.8%,Blue-Eyes,118,8.2%
Labrynth,63,4.6%,White Forest,38,4.9%,White Forest,73,7.4%,Tenpai Dragon,130,8.4%,Centur-Ion,41,4.2%,Snake-Eye,51,5.4%,Fiendsmith,85,5.9%
Voiceless Voice,60,4.4%,Voiceless Voice,33,4.2%,Exodia,51,5.2%,White Forest,93,6.0%,Fiendsmith,39,4.0%,P.U.N.K.,47,4.9%,Snake-Eye,83,5.7%
Gimmick Puppet,58,4.3%,Drytron,28,3.6%,Tearlaments,38,3.9%,Labrynth,48,3.1%,Memento,37,3.8%,Mermail Atlantean,40,4.2%,Branded,66,4.6%
Chimera,52,3.8%,Fire King,27,3.5%,Yubel,32,3.2%,Exodia,48,3.1%,Snake-Eye,26,2.7%,Branded,33,3.5%,Tenpai Dragon,58,4.0%
Mathmech,50,3.7%,Gimmick Puppet,27,3.5%,Voiceless Voice,32,3.2%,Tachyon,45,2.9%,Branded,25,2.6%,Memento,32,3.4%,Mermail Atlantean,50,3.5%
Centur-Ion,36,2.6%,Branded,27,3.5%,Branded,30,3.0%,Kashtira,44,2.8%,White Forest,24,2.5%,Centur-Ion,31,3.3%,Centur-Ion,44,3.0%
Branded,32,2.3%,Labrynth,25,3.2%,Kashtira,23,2.3%,Branded,43,2.8%,Labrynth,24,2.5%,Tenpai Dragon,29,3.1%,Mimighoul,42,2.9%
Yubel,31,2.3%,Centur-Ion,25,3.2%,Labrynth,22,2.2%,Tearlaments,40,2.6%,Yubel,24,2.5%,White Forest,28,2.9%,Memento,41,2.8%
Infernoble Knight,30,2.2%,Chimera,24,3.1%,Magical Musketeer,22,2.2%,Barrier Statue,37,2.4%,Exodia,24,2.5%,Voiceless Voice,21,2.2%,White Forest,39,2.7%
Ritual Beast,30,2.2%,Mathmech,23,3.0%,Rescue-ACE,20,2.0%,Voiceless Voice,36,2.3%,Voiceless Voice,23,2.4%,Yubel,21,2.2%,Ryu-Ge,33,2.3%
Fire King,29,2.1%,Tearlaments,20,2.6%,Barrier Statue,20,2.0%,Mathmech,34,2.2%,Kashtira,17,1.8%,Labrynth,17,1.8%,P.U.N.K.,28,1.9%
Orcust,25,1.8%,Melodious,13,1.7%,Bystial,20,2.0%,Yubel,29,1.9%,Fire King,16,1.6%,HERO,13,1.4%,Kashtira,26,1.8%
Tearlaments,22,1.6%,Ritual Beast,12,1.5%,Sky Striker,19,1.9%,Fiendsmith,26,1.7%,Barrier Statue,16,1.6%,Tearlaments,12,1.3%,Voiceless Voice,25,1.7%
Dinomorphia,20,1.5%,Ninja,12,1.5%,Chimera,17,1.7%,Chimera,23,1.5%,Shark,15,1.5%,Melodious,11,1.2%,Spright,24,1.7%
True Draco,20,1.5%,Infernoble Knight,11,1.4%,Centur-Ion,17,1.7%,Fire King,22,1.4%,Adamancipator,13,1.3%,Mathmech,11,1.2%,Yubel,19,1.3%
Melodious,19,1.4%,Spright,11,1.4%,Mathmech,16,1.6%,Dinomorphia,21,1.4%,Infernoble Knight,13,1.3%,Shark,11,1.2%,Fire King,17,1.2%
Snake-Eye,18,1.3%,Dinomorphia,11,1.4%,Fiendsmith,15,1.5%,Bystial,21,1.4%,Gimmick Puppet,13,1.3%,Infernoble Knight,11,1.2%,Gimmick Puppet,16,1.1%
Plant,15,1.1%,HERO,9,1.2%,Fire King,15,1.5%,Centur-Ion,20,1.3%,Plant,12,1.2%,Magical Musketeer,11,1.2%,Labrynth,16,1.1%
Red Dragon Archfiend,15,1.1%,Runick,9,1.2%,Gimmick Puppet,12,1.2%,ABC,18,1.2%,Sky Striker,12,1.2%,Kashtira,11,1.2%,Red Dragon Archfiend,15,1.0%
Pendulum,15,1.1%,Thunder Dragon,9,1.2%,HERO,11,1.1%,Magical Musketeer,18,1.2%,Tachyon,10,1.0%,Thunder Dragon,9,0.9%,Tearlaments,14,1.0%
Traptrix,14,1.0%,Barrier Statue,9,1.2%,Infernoble Knight,11,1.1%,Sky Striker,16,1.0%,Dinomorphia,10,1.0%,Plant,8,0.8%,Materiactor,13,0.9%
Spright,14,1.0%,Kashtira,9,1.2%,Purrely,9,0.9%,Red Dragon Archfiend,15,1.0%,Ritual Beast,10,1.0%,Gimmick Puppet,8,0.8%,Mathmech,13,0.9%
Marincess,13,1.0%,Traptrix,8,1.0%,Dinomorphia,8,0.8%,Infernoble Knight,15,1.0%,Goblin Biker,10,1.0%,Bystial,8,0.8%,Infernoble Knight,13,0.9%
Barrier Statue,12,0.9%,Plant,8,1.0%,Pendulum,8,0.8%,Rescue-ACE,13,0.8%,Bystial,9,0.9%,Live☆Twin,8,0.8%,Exodia,13,0.9%
HERO,11,0.8%,Orcust,8,1.0%,Thunder Dragon,8,0.8%,Vanquish Soul,13,0.8%,Mathmech,9,0.9%,Argostars,8,0.8%,Live☆Twin,11,0.8%
Salamangreat,11,0.8%,Red Dragon Archfiend,8,1.0%,Ritual Beast,7,0.7%,Melodious,12,0.8%,Dragon Link,9,0.9%,Purrely,8,0.8%,HERO,11,0.8%
Dracoslayer,11,0.8%,Pendulum,8,1.0%,Plant,7,0.7%,Traptrix,12,0.8%,Chimera,9,0.9%,Exodia,8,0.8%,Melodious,10,0.7%
Live☆Twin,11,0.8%,Snake-Eye,8,1.0%,Phantom Knights,7,0.7%,Salamangreat,11,0.7%,Thunder Dragon,8,0.8%,Tachyon,8,0.8%,Unchained,10,0.7%
Dark Magician,10,0.7%,Purrely,7,0.9%,Orcust,7,0.7%,Ritual Beast,11,0.7%,Ancient Gear,8,0.8%,Fire King,7,0.7%,Ancient Gear,10,0.7%
Thunder Dragon,10,0.7%,Dragon Link,7,0.9%,Drytron,6,0.6%,Pendulum,10,0.6%,Traptrix,8,0.8%,Red Dragon Archfiend,7,0.7%,Chimera,9,0.6%
Sky Striker,9,0.7%,Scareclaw,6,0.8%,Floowandereeze,6,0.6%,Gimmick Puppet,10,0.6%,Tearlaments,7,0.7%,Barrier Statue,7,0.7%,Sky Striker,9,0.6%
Kashtira,9,0.7%,Ashened,6,0.8%,Ninja,6,0.6%,Runick,10,0.6%,Dark Magician,7,0.7%,Dinomorphia,6,0.6%,Salamangreat,9,0.6%
Paleozoic,9,0.7%,True Draco,5,0.6%,Raidraptor,6,0.6%,Spright,9,0.6%,Magical Musketeer,7,0.7%,Sky Striker,6,0.6%,Traptrix,9,0.6%
Scareclaw,8,0.6%,Salamangreat,5,0.6%,Vaalmonica,6,0.6%,Orcust,9,0.6%,Red Dragon Archfiend,7,0.7%,Raidraptor,6,0.6%,Dragon Link,9,0.6%
Vanquish Soul,8,0.6%,Marincess,5,0.6%,Spright,5,0.5%,HERO,9,0.6%,HERO,7,0.7%,Chimera,6,0.6%,Dinosaur,9,0.6%
Ninja,8,0.6%,Sky Striker,5,0.6%,Red Dragon Archfiend,5,0.5%,Ice Barrier,8,0.5%,Melodious,6,0.6%,Ancient Gear,6,0.6%,Shark,8,0.6%
Dragon Link,8,0.6%,Ice Barrier,5,0.6%,Ancient Gear,5,0.5%,Scareclaw,8,0.5%,Naturia,6,0.6%,Spright,5,0.5%,Thunder Dragon,8,0.6%
