2024-01,,,2024-02,,,2024-03,,,2024-04,,,2024-05,,,2024-06,,,2024-07,,,2024-08,,,2024-09,,,2024-10,,,2024-11,,,2024-12,,
754,,,830,,,1504,,,796,,,834,,,1317,,,674,,,800,,,1235,,,859,,,745,,,1362,,
Superheavy Samurai,70,9.3%,Snake-Eye,164,19.8%,Snake-Eye,256,17.0%,Snake-Eye,94,11.8%,Snake-Eye,76,9.1%,Fire King,159,12.1%,Yubel,112,16.6%,Yubel,84,10.5%,Voiceless Voice,74,6.0%,Tenpai Dragon,176,20.5%,Tenpai Dragon,97,13.0%,Tenpai Dragon,149,10.9%
Branded,50,6.6%,Labrynth,51,6.1%,Labrynth,127,8.4%,Labrynth,52,6.5%,Tearlaments,48,5.8%,Rescue-ACE,64,4.9%,Fire King,37,5.5%,Voiceless Voice,83,10.4%,Yubel,70,5.7%,Yubel,50,5.8%,Mathmech,42,5.6%,White Forest,109,8.0%
Mathmech,50,6.6%,Mathmech,43,5.2%,Mathmech,67,4.5%,Rescue-ACE,49,6.2%,Rescue-ACE,36,4.3%,Mathmech,55,4.2%,Tearlaments,33,4.9%,Tearlaments,36,4.5%,Tearlaments,69,5.6%,Voiceless Voice,42,4.9%,Voiceless Voice,38,5.1%,Labrynth,63,4.6%
Mannadium,50,6.6%,Branded,39,4.7%,Kashtira,65,4.3%,Tearlaments,38,4.8%,Labrynth,36,4.3%,Snake-Eye,54,4.1%,Barrier Statue,30,4.5%,Barrier Statue,33,4.1%,Centur-Ion,66,5.3%,Mathmech,41,4.8%,Centur-Ion,33,4.4%,Voiceless Voice,60,4.4%
Labrynth,44,5.8%,Kashtira,34,4.1%,Tearlaments,60,4.0%,Purrely,37,4.6%,Salamangreat,35,4.2%,Tearlaments,53,4.0%,Centur-Ion,30,4.5%,Fire King,29,3.6%,Barrier Statue,61,4.9%,Ritual Beast,36,4.2%,Melodious,27,3.6%,Gimmick Puppet,58,4.3%
Dinomorphia,42,5.6%,Infernoble Knight,28,3.4%,Branded,52,3.5%,Unchained,30,3.8%,Chimera,28,3.4%,Purrely,52,3.9%,Branded,27,4.0%,Branded,26,3.2%,Dragon Link,50,4.0%,Fire King,25,2.9%,Chimera,23,3.1%,Chimera,52,3.8%
Vanquish Soul,34,4.5%,Superheavy Samurai,27,3.3%,Red Dragon Archfiend,46,3.1%,Mathmech,29,3.6%,Mathmech,27,3.2%,Sky Striker,41,3.1%,Mathmech,26,3.9%,Mathmech,25,3.1%,Kashtira,48,3.9%,Tearlaments,25,2.9%,Infernoble Knight,23,3.1%,Mathmech,50,3.7%
Swordsoul,24,3.2%,Dinomorphia,26,3.1%,Superheavy Samurai,43,2.9%,Chimera,26,3.3%,Purrely,25,3.0%,Pendulum Magician,40,3.0%,Purrely,25,3.7%,Centur-Ion,24,3.0%,Ancient Gear,42,3.4%,Centur-Ion,23,2.7%,Yubel,23,3.1%,Centur-Ion,32,2.3%
Tearlaments,20,2.7%,Mannadium,26,3.1%,Dinomorphia,38,2.5%,Branded,22,2.8%,Horus,24,2.9%,Branded,39,3.0%,Labrynth,24,3.6%,Ice Barrier,23,2.9%,Plant,41,3.3%,Labrynth,19,2.2%,Ritual Beast,23,3.1%,Branded,32,2.3%
Gold Pride,17,2.3%,Tearlaments,22,2.7%,Vanquish Soul,37,2.5%,Mikanko,21,2.6%,Vanquish Soul,23,2.8%,Labrynth,37,2.8%,Red Dragon Archfiend,21,3.1%,Raidraptor,20,2.5%,Mathmech,37,3.0%,Branded,19,2.2%,Labrynth,22,3.0%,Yubel,31,2.3%
Sky Striker,16,2.1%,Barrier Statue,19,2.3%,Swordsoul,36,2.4%,Vanquish Soul,20,2.5%,Unchained,22,2.6%,Kashtira,34,2.6%,Rescue-ACE,21,3.1%,Floowandereeze,17,2.1%,Branded,35,2.8%,Barrier Statue,17,2.0%,Tearlaments,21,2.8%,Infernoble Knight,30,2.2%
