2025-01,,,2025-02,,,2025-03,,,2025-04,,,2025-05,,,2025-06,,,2025-07,,,2025-08,,,2025-09,,,2025-10,,,2025-11,,,2025-12,,,2026-01,,,2026-02,,,2026-03,,
777,,,985,,,1552,,,971,,,950,,,1446,,,881,,,1022,,,1076,,,699,,,777,,,1335,,,818,,,906,,,1585,,
Tenpai Dragon,56,7.2%,Snake-Eye,102,10.4%,Snake-Eye,143,9.2%,Blue-Eyes,211,21.7%,Fiendsmith,135,14.2%,Crystron,135,9.3%,Maliss,222,25.2%,Ryzeal,169,16.5%,Maliss,197,18.3%,Mitsurugi,122,17.5%,Orcust,76,9.8%,Dracotail,289,21.6%,Dracotail,143,17.5%,Vanquish Soul,128,14.1%,Yummy,161,10.2%
Yubel,48,6.2%,Tenpai Dragon,99,10.1%,Blue-Eyes,133,8.6%,Tenpai Dragon,42,4.3%,Blue-Eyes,122,12.8%,Blue-Eyes,118,8.2%,Blue-Eyes,61,6.9%,Maliss,158,15.5%,Ryzeal,180,16.7%,Orcust,88,12.6%,Mitsurugi,69,8.9%,Odion,120,9.0%,Yummy,141,17.2%,Yummy,90,9.9%,Vanquish Soul,134,8.5%
White Forest,38,4.9%,White Forest,73,7.4%,Tenpai Dragon,130,8.4%,Centur-Ion,41,4.2%,Snake-Eye,51,5.4%,Fiendsmith,85,5.9%,Tenpai Dragon,49,5.6%,Tenpai Dragon,93,9.1%,Gem-Knights,75,7.0%,Maliss,82,11.7%,Maliss,64,8.2%,Mitsurugi,100,7.5%,Odion,54,6.6%,Dracotail,74,8.2%,Dracotail,128,8.1%
Voiceless Voice,33,4.2%,Exodia,51,5.2%,White Forest,93,6.0%,Fiendsmith,39,4.0%,P.U.N.K.,47,4.9%,Snake-Eye,83,5.7%,Fiendsmith,32,3.6%,Centur-Ion,64,6.3%,Tenpai Dragon,53,4.9%,Ryzeal,51,7.3%,White Forest,51,6.6%,Maliss,88,6.6%,Mitsurugi,48,5.9%,Mitsurugi,50,5.5%,Mitsurugi,123,7.8%
Drytron,28,3.6%,Tearlaments,38,3.9%,Exodia,48,3.1%,Memento,37,3.8%,Mermail Atlantean,40,4.2%,Branded,66,4.6%,Mermail Atlantean,30,3.4%,Blue-Eyes,41,4.0%,Regenesis,41,3.8%,Gem-Knights,37,5.3%,Lunalight,46,5.9%,White Forest,75,5.6%,D/D/D,36,4.4%,Odion,45,5.0%,Radiant Typhoon,119,7.5%
Branded,27,3.5%,Yubel,32,3.2%,Labrynth,48,3.1%,Snake-Eye,26,2.7%,Branded,33,3.5%,Tenpai Dragon,58,4.0%,Crystron,29,3.3%,Red Dragon Archfiend,30,2.9%,Blue-Eyes,40,3.7%,Blue-Eyes,29,4.1%,Onomat,39,5.0%,Orcust,50,3.7%,Lunalight,25,3.1%,Lunalight,44,4.9%,Odion,91,5.7%
Fire King,27,3.5%,Voiceless Voice,32,3.2%,Tachyon,45,2.9%,Branded,25,2.6%,Memento,32,3.4%,Mermail Atlantean,50,3.5%,Memento,27,3.1%,White Forest,29,2.8%,Mathmech,33,3.1%,Tenpai Dragon,17,2.4%,Sky Striker,37,4.8%,Onomat,49,3.7%,White Forest,23,2.8%,White Forest,35,3.9%,Lunalight,59,3.7%
Gimmick Puppet,27,3.5%,Branded,30,3.0%,Kashtira,44,2.8%,Labrynth,24,2.5%,Centur-Ion,31,3.3%,Centur-Ion,44,3.0%,White Forest,26,3.0%,Crystron,26,2.5%,Tearlaments,32,3.0%,Fire King,14,2.0%,Blue-Eyes,32,4.1%,Tenpai Dragon,38,2.8%,Orcust,22,2.7%,Orcust,24,2.6%,Orcust,54,3.4%
