2025-04,,,2025-05,,,2025-06,,,2025-07,,,2025-08,,,2025-09,,,2025-10,,,2025-11,,,2025-12,,,2026-01,,,2026-02,,,2026-03,,
971,,,950,,,1446,,,881,,,1022,,,1076,,,699,,,777,,,1335,,,818,,,906,,,1585,,
Blue-Eyes,211,21.7%,Fiendsmith,135,14.2%,Crystron,135,9.3%,Maliss,222,25.2%,Ryzeal,169,16.5%,Maliss,197,18.3%,Mitsurugi,122,17.5%,Orcust,76,9.8%,Dracotail,289,21.6%,Dracotail,143,17.5%,Vanquish Soul,128,14.1%,Yummy,161,10.2%
Tenpai Dragon,42,4.3%,Blue-Eyes,122,12.8%,Blue-Eyes,118,8.2%,Blue-Eyes,61,6.9%,Maliss,158,15.5%,Ryzeal,180,16.7%,Orcust,88,12.6%,Mitsurugi,69,8.9%,Odion,120,9.0%,Yummy,141,17.2%,Yummy,90,9.9%,Vanquish Soul,134,8.5%
Centur-Ion,41,4.2%,Snake-Eye,51,5.4%,Fiendsmith,85,5.9%,Tenpai Dragon,49,5.6%,Tenpai Dragon,93,9.1%,Gem-Knights,75,7.0%,Maliss,82,11.7%,Maliss,64,8.2%,Mitsurugi,100,7.5%,Odion,54,6.6%,Dracotail,74,8.2%,Dracotail,128,8.1%
Fiendsmith,39,4.0%,P.U.N.K.,47,4.9%,Snake-Eye,83,5.7%,Fiendsmith,32,3.6%,Centur-Ion,64,6.3%,Tenpai Dragon,53,4.9%,Ryzeal,51,7.3%,White Forest,51,6.6%,Maliss,88,6.6%,Mitsurugi,48,5.9%,Mitsurugi,50,5.5%,Mitsurugi,123,7.8%
Memento,37,3.8%,Mermail Atlantean,40,4.2%,Branded,66,4.6%,Mermail Atlantean,30,3.4%,Blue-Eyes,41,4.0%,Regenesis,41,3.8%,Gem-Knights,37,5.3%,Lunalight,46,5.9%,White Forest,75,5.6%,D/D/D,36,4.4%,Odion,45,5.0%,Radiant Typhoon,119,7.5%
Snake-Eye,26,2.7%,Branded,33,3.5%,Tenpai Dragon,58,4.0%,Crystron,29,3.3%,Red Dragon Archfiend,30,2.9%,Blue-Eyes,40,3.7%,Blue-Eyes,29,4.1%,Sky Striker,37,4.8%,Orcust,50,3.7%,Lunalight,25,3.1%,Lunalight,44,4.9%,Odion,91,5.7%
Branded,25,2.6%,Memento,32,3.4%,Mermail Atlantean,50,3.5%,Memento,27,3.1%,White Forest,29,2.8%,Mathmech,33,3.1%,Tenpai Dragon,17,2.4%,Blue-Eyes,32,4.1%,Ryzeal,42,3.1%,White Forest,23,2.8%,White Forest,35,3.9%,Lunalight,59,3.7%
Exodia,24,2.5%,Centur-Ion,31,3.3%,Centur-Ion,44,3.0%,White Forest,26,3.0%,Crystron,26,2.5%,Tearlaments,32,3.0%,Fire King,14,2.0%,Ryzeal,28,3.6%,Tenpai Dragon,38,2.8%,Orcust,22,2.7%,Dark Magician,27,3.0%,Orcust,54,3.4%
Yubel,24,2.5%,Tenpai Dragon,29,3.1%,Mimighoul,42,2.9%,Voiceless Voice,19,2.2%,Barrier Statue,20,2.0%,Voiceless Voice,30,2.8%,Mathmech,14,2.0%,Gem-Knights,23,3.0%,Artmage,37,2.8%,Maliss,21,2.6%,Orcust,24,2.6%,Sky Striker,50,3.2%
White Forest,24,2.5%,White Forest,28,2.9%,Memento,41,2.8%,Barrier Statue,18,2.0%,Voiceless Voice,20,2.0%,Barrier Statue,21,2.0%,Barrier Statue,13,1.9%,Branded,22,2.8%,Lunalight,37,2.8%,Blue-Eyes,20,2.4%,Live☆Twin,23,2.5%,White Forest,42,2.6%
Labrynth,24,2.5%,Yubel,21,2.2%,White Forest,39,2.7%,Centur-Ion,17,1.9%,Six Samurai,18,1.8%,Fiendsmith,18,1.7%,Tearlaments,12,1.7%,Barrier Statue,17,2.2%,Sky Striker,34,2.5%,Sky Striker,18,2.2%,Crystron,23,2.5%,Synchron,30,1.9%
Voiceless Voice,23,2.4%,Voiceless Voice,21,2.2%,Ryu-Ge,33,2.3%,Branded,17,1.9%,Swordsoul,17,1.7%,Mermail Atlantean,16,1.5%,Labrynth,11,1.6%,Tenpai Dragon,15,1.9%,Gem-Knights,32,2.4%,Tenpai Dragon,14,1.7%,Snake-Eye,19,2.1%,Dark Magician,27,1.7%
Kashtira,17,1.8%,Labrynth,17,1.8%,P.U.N.K.,28,1.9%,Snake-Eye,13,1.5%,Jurrac,17,1.7%,Crystron,13,1.2%,Branded,11,1.6%,Monarch,13,1.7%,Blue-Eyes,30,2.2%,Artmage,14,1.7%,Artmage,18,2.0%,Maliss,24,1.5%
Fire King,16,1.6%,HERO,13,1.4%,Kashtira,26,1.8%,Tearlaments,13,1.5%,Mermail Atlantean,17,1.7%,Centur-Ion,13,1.2%,Voiceless Voice,8,1.1%,Tearlaments,13,1.7%,Dragonmaid,18,1.3%,Ryzeal,12,1.5%,K9,16,1.8%,Gem-Knights,23,1.5%
