Month,Deck,Percent
2025-01,Tenpai Dragon,7.2
2025-01,Yubel,6.2
2025-01,White Forest,4.9
2025-01,Voiceless Voice,4.2
2025-01,Drytron,3.6
2025-01,Branded,3.5
2025-01,Fire King,3.5
2025-01,Gimmick Puppet,3.5
2025-01,Centur-Ion,3.2
2025-01,Labrynth,3.2
2025-01,Chimera,3.1
2025-01,Mathmech,3.0
2025-01,Tearlaments,2.6
2025-01,Melodious,1.7
2025-01,Ritual Beast,1.5
2025-01,Ninja,1.5
2025-01,Infernoble Knight,1.4
2025-01,Dinomorphia,1.4
2025-01,Spright,1.4
2025-01,Barrier Statue,1.2
2025-01,Runick,1.2
2025-01,Kashtira,1.2
2025-01,HERO,1.2
2025-01,Thunder Dragon,1.2
2025-01,Plant,1.0
2025-01,Snake-Eye,1.0
2025-01,Traptrix,1.0
2025-01,Red Dragon Archfiend,1.0
2025-01,Pendulum,1.0
2025-01,Orcust,1.0
2025-01,Purrely,0.9
2025-01,Dragon Link,0.9
2025-01,Scareclaw,0.8
2025-01,Ashened,0.8
2025-01,Live☆Twin,0.6
2025-01,Marincess,0.6
2025-01,Bystial,0.6
2025-01,Sky Striker,0.6
2025-01,True Draco,0.6
2025-01,Dark Magician,0.6
2025-01,Ice Barrier,0.6
2025-01,Salamangreat,0.6
2025-01,Raidraptor,0.6
2025-01,Ancient Gear,0.5
2025-01,Dracoslayer,0.5
2025-01,Mannadium,0.5
2025-01,Naturia,0.5
2025-01,Endymion,0.5
2025-01,Generaider,0.5
2025-01,Odd-Eyes,0.5
2025-01,Paleozoic,0.5
2025-01,Rescue-ACE,0.5
2025-01,Vanquish Soul,0.5
2025-01,Lunalight,0.4
2025-01,Dark World,0.4
2025-01,Vaylantz,0.4
2025-01,Swordsoul,0.4
2025-01,Trickstar,0.4
2025-01,Plunder Patroll,0.4
2025-01,Floowandereeze,0.4
2025-01,Dinosaur,0.4
2025-01,Vaalmonica,0.4
2025-01,Synchron,0.4
2025-01,Tech Genus,0.4
2025-01,Zoodiac,0.3
2025-01,Phantom Knights,0.3
2025-01,Penguin,0.3
2025-01,Blue-Eyes,0.3
2025-01,Madolche,0.3
2025-01,D/D/D,0.3
2025-01,Volcanic,0.3
2025-01,Magical Musketeer,0.3
2025-01,Goblin Biker,0.3
2025-01,Machina,0.3
2025-01,Melffy,0.3
2025-01,Exosister,0.3
2025-01,Light and Darkness,0.3
2025-01,Therion,0.3
2025-01,Infernity,0.1
2025-01,Gold Pride,0.1
2025-01,Myutant,0.1
2025-01,World Chalice,0.1
2025-01,Mayakashi,0.1
2025-01,Superheavy Samurai,0.1
2025-01,Icejade,0.1
2025-01,Lightsworn,0.1
2025-01,Charmer,0.1
2025-01,Nouvelles,0.1
2025-01,Memento,0.1
2025-01,Buster Blader,0.1
2025-01,Altergeist,0.1
2025-01,Generaider Subterror,0.1
2025-01,Exodia,0.1
2025-01,Gate Guardian,0.1
2025-01,Ghoti,0.1
2025-01,Crystal Beast,0.1
2025-01,Mekk-Knight Crusadia,0.1
2025-01,Zefra,0.1
2025-01,Gravekeeper,0.1
2025-01,Lyrilusc,0.1
2025-01,Mikanko,0.1
2025-01,Shining Sarcophagus,0.1
2025-01,Shiranui,0.1
2025-01,Dogmatika,0.1
2025-01,Zombies,0.1
2025-01,Tri-Brigade,0.1
2025-01,Egyptian God,0.1
2025-01,Shaddoll,0.1
2025-01,Invoke,0.1
2025-01,SPYRAL,0.1
2025-01,Horus,0.1
2025-01,Unchained,0.1
2025-01,Nemleria,0.1
2025-01,Infernoid,0.1
2025-01,Umi,0.1
2025-01,Evil Eye,0.1
2025-01,Galaxy Photon,0.1
2025-01,Eldlich,0.1
2025-01,Tistina,0.1
2025-02,Snake-Eye,10.4
2025-02,Tenpai Dragon,10.1
2025-02,White Forest,7.4
2025-02,Exodia,5.2
2025-02,Tearlaments,3.9
2025-02,Yubel,3.2
2025-02,Voiceless Voice,3.2
2025-02,Branded,3.0
2025-02,Kashtira,2.3
2025-02,Magical Musketeer,2.2
2025-02,Labrynth,2.2
2025-02,Bystial,2.0
2025-02,Rescue-ACE,2.0
2025-02,Barrier Statue,2.0
2025-02,Sky Striker,1.9
2025-02,Centur-Ion,1.7
2025-02,Chimera,1.7
2025-02,Mathmech,1.6
2025-02,Fiendsmith,1.5
2025-02,Fire King,1.5
2025-02,Gimmick Puppet,1.2
2025-02,Infernoble Knight,1.1
2025-02,HERO,1.1
2025-02,Purrely,0.9
2025-02,Dinomorphia,0.8
2025-02,Pendulum,0.8
2025-02,Thunder Dragon,0.8
2025-02,Phantom Knights,0.7
2025-02,Ritual Beast,0.7
2025-02,Orcust,0.7
2025-02,Plant,0.7
2025-02,Drytron,0.6
2025-02,Ninja,0.6
2025-02,Vaalmonica,0.6
2025-02,Raidraptor,0.6
2025-02,Floowandereeze,0.6
2025-02,Red Dragon Archfiend,0.5
2025-02,Spright,0.5
2025-02,Unchained,0.5
2025-02,Melodious,0.5
2025-02,Ancient Gear,0.5
2025-02,Live☆Twin,0.5
2025-02,Dragon Link,0.5
2025-02,Salamangreat,0.5
2025-02,Scareclaw,0.4
2025-02,Ghoti,0.4
2025-02,Traptrix,0.4
2025-02,Crystal Beast,0.3
2025-02,Endymion,0.3
2025-02,Marincess,0.3
2025-02,True Draco,0.3
2025-02,Weather Painter,0.3
2025-02,Runick,0.3
2025-02,Superheavy Samurai,0.3
2025-02,Naturia,0.3
2025-02,Synchron,0.3
2025-02,Dark Magician,0.3
2025-02,Horus,0.3
2025-02,Ice Barrier,0.3
2025-02,Vanquish Soul,0.3
2025-02,Dinosaur,0.3
2025-02,Galaxy Photon,0.2
2025-02,Zoodiac,0.2
2025-02,Blackwings,0.2
2025-02,Evil Eye,0.2
2025-02,Mannadium,0.2
2025-02,SPYRAL,0.2
2025-02,Swordsoul,0.2
2025-02,Vaylantz,0.2
2025-02,Volcanic,0.2
2025-02,Mayakashi,0.2
2025-02,Zefra,0.2
2025-02,Lunalight,0.2
2025-02,Fur Hire,0.2
2025-02,Generaider,0.2
2025-02,Plunder Patroll,0.2
2025-02,Therion,0.2
2025-02,Rank 8 go 2nd,0.2
2025-02,D/D/D,0.2
2025-02,Performapal,0.2
2025-02,Mekk-Knights,0.2
2025-02,Cubic,0.2
2025-02,Dragonmaid,0.1
2025-02,Melffy,0.1
2025-02,Buster Blader,0.1
2025-02,Tech Genus,0.1
2025-02,Memento,0.1
2025-02,Goblin Biker,0.1
